time,open,high,low,close
1779799500,25262.23,25267.86,25255.09,25267.37
1779799800,25266.97,25283.99,25266.97,25278.48
1779800100,25278.32,25278.32,25268.83,25270.62
1779800400,25270.48,25270.87,25264.46,25267.75
1779800700,25267.53,25270.61,25262.64,25268.31
1779801000,25267.98,25273.94,25259.5,25272.97
1779801300,25272.78,25277.17,25271.41,25275.73
1779801600,25274.34,25289.97,25272.5,25289.97
1779801900,25289.81,25289.81,25270.38,25272.2
1779802200,25272.87,25273.67,25255.24,25258.43
1779802500,25259.89,25277.17,25254.32,25261.64
1779802800,25261.12,25275.78,25259.14,25273.3
1779803100,25274.4,25283.03,25271.68,25271.68
1779803400,25271.36,25274.95,25218.65,25236.82
1779803700,25237.38,25261.59,25236.34,25258.15
1779804000,25256.98,25266.45,25245.86,25257.58
1779804300,25257.85,25287.47,25254.22,25264.65
1779804600,25264.34,25273.6,25253.77,25268.6
1779804900,25269.27,25276.18,25265.83,25272.21
1779805200,25271.91,25272.27,25255.3,25255.84
1779805500,25256.83,25262.44,25237.7,25248.12
1779805800,25248.48,25252.18,25227.09,25229.1
1779806100,25228.5,25249.46,25216.77,25216.77
1779806400,25216.81,25224.29,25215.56,25223.28
1779806700,25223.12,25243.21,25221.54,25242.29
1779807000,25242.13,25242.51,25218.24,25223.59
1779807300,25224.11,25240.37,25219.05,25239.52
1779807600,25239.99,25241.4,25208.43,25210.35
1779807900,25210.72,25222.43,25206.37,25219.19
1779808200,25219.42,25222.3,25209.51,25212.22
1779808500,25212.34,25213.31,25193.62,25195.95
1779808800,25195.46,25208.27,25195.46,25200.74
1779809100,25200.55,25213.24,25200.15,25204.38
1779865200,25324.81,25332.08,25305.34,25308.09
1779865500,25310.29,25313.56,25291.5,25304.83
1779865800,25305.26,25318.81,25294.01,25318.56
1779866100,25319.96,25361.95,25309.31,25360.22
1779866400,25360.32,25360.45,25333.91,25334.01
1779866700,25333.8,25337.16,25317.5,25333.95
1779867000,25334.18,25348.98,25325.96,25337.04
1779867300,25336.85,25351.37,25324.95,25325.73
1779867600,25325.83,25349.61,25322.7,25338.36
1779867900,25338.3,25346.6,25334.31,25338.91
1779868200,25339.1,25354.91,25331.93,25347.85
1779868500,25348.03,25352.55,25341.59,25342.46
1779868800,25341.98,25367.23,25321.58,25356.14
1779869100,25356.83,25362.43,25346.56,25352.27
1779869400,25351.6,25360.89,25347.25,25350.59
1779869700,25349.27,25350.97,25314.84,25314.86
1779870000,25315.26,25353.72,25314.35,25335.14
1779870300,25334.95,25349.12,25330.41,25346.27
1779870600,25346.81,25350.06,25331.63,25343.14
1779870900,25342.8,25344.31,25327.45,25335.08
1779871200,25335.46,25344.54,25328.28,25331.39
1779871500,25331.36,25336.77,25325.31,25336.68
1779871800,25336.72,25352.44,25334.73,25351.51
1779872100,25351.75,25355.6,25337.64,25337.64
1779872400,25337.2,25363.02,25335.94,25359.59
1779872700,25358.88,25358.88,25341.17,25347.26
1779873000,25347.13,25377.32,25341.95,25374.73
1779873300,25373.18,25382.19,25366.1,25378.87
1779873600,25378.92,25394.81,25357.7,25358.09
1779873900,25357.56,25368.74,25354.46,25359.94
1779874200,25359.96,25369.47,25358.63,25364.66
1779874500,25364.65,25376.26,25361.9,25369.43
1779874800,25369.6,25370.1,25356.46,25364.65
1779875100,25364.84,25367.88,25350.2,25364.4
1779875400,25364.43,25369.46,25357.71,25364.52
1779875700,25364.48,25380.38,25362.18,25362.34
1779876000,25361.57,25361.57,25345.68,25355.54
1779876300,25355.41,25371.11,25350.8,25370.19
1779876600,25370.86,25379.91,25370.86,25378.94
1779876900,25378.32,25378.32,25366.56,25367.97
1779877200,25367.58,25369.03,25354.14,25360.87
1779877500,25360.97,25366.48,25347.26,25350.23
1779877800,25350.53,25350.87,25339.97,25340.83
1779878100,25340.6,25347.55,25324.34,25324.34
1779878400,25322.64,25344.72,25321.06,25338.12
1779878700,25338.42,25353.58,25337.82,25342.0
1779879000,25342.09,25362.96,25342.09,25362.95
1779879300,25363.33,25365.46,25347.28,25353.14
1779879600,25353.21,25359.75,25328.04,25328.04
1779879900,25328.06,25329.19,25308.33,25309.25
1779880200,25309.12,25313.24,25303.76,25310.45
1779880500,25311.77,25319.06,25303.34,25308.96
1779880800,25308.71,25328.51,25308.71,25317.94
1779881100,25317.84,25318.45,25292.52,25292.52
1779881400,25293.06,25293.06,25266.85,25285.4
1779881700,25286.36,25307.23,25286.36,25300.41
1779882000,25300.57,25300.76,25286.89,25293.09
1779882300,25292.89,25294.15,25277.1,25281.67
1779882600,25281.4,25297.85,25281.4,25285.96
1779882900,25283.23,25283.62,25262.29,25263.29
1779883200,25263.35,25263.97,25237.01,25242.23
1779883500,25241.84,25261.67,25241.84,25247.73
1779883800,25247.87,25249.13,25233.31,25236.19
1779884100,25235.49,25297.32,25229.15,25291.06
